2026-04-22 10:42:42,546 | listener_started | / | ['0.0.0.0, 9001']
2026-04-22 11:05:03,753 | recv | /reward | [1.0]
2026-04-22 11:05:03,754 | send | /adm/obj/1/xyz | [-0.6062489151954651, -0.18206459283828735, -0.3697807490825653]
2026-04-22 11:05:03,754 | send | /adm/obj/2/xyz | [-0.6062489151954651, -0.18206459283828735, -0.3697807490825653]
2026-04-22 11:05:03,833 | recv | /reward | [0.8640509843826294]
2026-04-22 11:05:03,834 | send | /adm/obj/1/xyz | [0.18893826007843018, -1.0, -0.5249860286712646]
2026-04-22 11:05:03,834 | send | /adm/obj/2/xyz | [0.18893826007843018, -1.0, -0.5249860286712646]
2026-04-22 11:05:03,935 | recv | /reward | [0.5586310625076294]
2026-04-22 11:05:03,936 | send | /adm/obj/1/xyz | [-1.0, 1.0, -0.05533338710665703]
2026-04-22 11:05:03,936 | send | /adm/obj/2/xyz | [-1.0, 1.0, -0.05533338710665703]
2026-04-22 11:05:04,027 | recv | /reward | [0.8337775468826294]
2026-04-22 11:05:04,028 | send | /adm/obj/1/xyz | [0.24146832525730133, -1.0, 0.8576791882514954]
2026-04-22 11:05:04,028 | send | /adm/obj/2/xyz | [0.24146832525730133, -1.0, 0.8576791882514954]
2026-04-22 11:05:04,123 | recv | /reward | [0.6833869218826294]
2026-04-22 11:05:04,124 | send | /adm/obj/1/xyz | [0.8239189386367798, -0.07171009480953217, -0.22316929697990417]
2026-04-22 11:05:04,124 | send | /adm/obj/2/xyz | [0.8239189386367798, -0.07171009480953217, -0.22316929697990417]
2026-04-22 11:05:04,223 | recv | /reward | [0.486609548330307]
2026-04-22 11:05:04,224 | send | /adm/obj/1/xyz | [-0.6034650802612305, -0.9897862672805786, 0.9729242324829102]
2026-04-22 11:05:04,224 | send | /adm/obj/2/xyz | [-0.6034650802612305, -0.9897862672805786, 0.9729242324829102]
2026-04-22 11:05:04,305 | recv | /reward | [0.455847829580307]
2026-04-22 11:05:04,306 | send | /adm/obj/1/xyz | [-1.0, -1.0, 0.5245152115821838]
2026-04-22 11:05:04,306 | send | /adm/obj/2/xyz | [-1.0, -1.0, 0.5245152115821838]
2026-04-22 11:05:04,402 | recv | /reward | [0.8003302812576294]
2026-04-22 11:05:04,403 | send | /adm/obj/1/xyz | [-0.8008542060852051, -0.1728287935256958, 1.0]
2026-04-22 11:05:04,403 | send | /adm/obj/2/xyz | [-0.8008542060852051, -0.1728287935256958, 1.0]
2026-04-22 11:05:04,489 | recv | /reward | [0.5759650468826294]
2026-04-22 11:05:04,490 | send | /adm/obj/1/xyz | [-1.0, 0.358502060174942, -0.2636720538139343]
2026-04-22 11:05:04,490 | send | /adm/obj/2/xyz | [-1.0, 0.358502060174942, -0.2636720538139343]
2026-04-22 11:05:04,576 | recv | /reward | [-0.6317986249923706]
2026-04-22 11:05:04,577 | send | /adm/obj/1/xyz | [1.0, -0.3734012842178345, -1.0]
2026-04-22 11:05:04,577 | send | /adm/obj/2/xyz | [1.0, -0.3734012842178345, -1.0]
2026-04-22 11:05:04,677 | recv | /reward | [-0.6181267499923706]
2026-04-22 11:05:04,678 | send | /adm/obj/1/xyz | [-0.2737516462802887, 1.0, 0.9843887090682983]
2026-04-22 11:05:04,679 | send | /adm/obj/2/xyz | [-0.2737516462802887, 1.0, 0.9843887090682983]
2026-04-22 11:05:04,770 | recv | /reward | [-0.6505974531173706]
2026-04-22 11:05:04,771 | send | /adm/obj/1/xyz | [0.20428961515426636, 0.7147291302680969, 1.0]
2026-04-22 11:05:04,771 | send | /adm/obj/2/xyz | [0.20428961515426636, 0.7147291302680969, 1.0]
2026-04-22 11:05:04,859 | recv | /reward | [0.6191779375076294]
2026-04-22 11:05:04,860 | send | /adm/obj/1/xyz | [-0.8465753197669983, 1.0, 0.6990479826927185]
2026-04-22 11:05:04,860 | send | /adm/obj/2/xyz | [-0.8465753197669983, 1.0, 0.6990479826927185]
2026-04-22 11:05:04,954 | recv | /reward | [0.7683478593826294]
2026-04-22 11:05:04,955 | send | /adm/obj/1/xyz | [0.7977529168128967, 1.0, 0.48308780789375305]
2026-04-22 11:05:04,955 | send | /adm/obj/2/xyz | [0.7977529168128967, 1.0, 0.48308780789375305]
2026-04-22 11:05:05,042 | recv | /reward | [0.9712287187576294]
