2026-03-24 10:51:36,393 | send | /adm/obj/1/xyz | [0.9447397589683533, 0.7485469579696655, -1.0]
2026-03-24 10:51:36,393 | recv | /adm/obj/1/xyz | [0.9447397589683533, 0.7485469579696655, -1.0]
2026-03-24 10:54:34,667 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 10:54:35,126 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 10:54:35,130 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 10:54:35,130 | send | /adm/obj/1/xyz | [1.0, 0.03767646849155426, 0.9827075600624084]
2026-03-24 10:54:35,131 | recv | /adm/obj/1/xyz | [1.0, 0.03767646849155426, 0.9827075600624084]
2026-03-24 10:57:01,093 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 11:02:30,346 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 11:02:30,826 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 11:02:30,832 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 11:02:30,843 | send | /adm/obj/1/xyz | [0.38091352581977844, -0.05148746073246002, 0.5738314986228943]
2026-03-24 11:02:30,843 | recv | /adm/obj/1/xyz | [0.38091352581977844, -0.05148746073246002, 0.5738314986228943]
2026-03-24 11:06:07,904 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 11:06:49,497 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 11:06:49,978 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 11:06:49,981 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 11:06:49,992 | send | /adm/obj/1/xyz | [0.640498697757721, 1.0, -1.0]
2026-03-24 11:06:49,992 | recv | /adm/obj/1/xyz | [0.640498697757721, 1.0, -1.0]
2026-03-24 11:13:13,355 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 11:14:33,482 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 11:16:38,424 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 11:16:38,900 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 11:16:38,903 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 11:16:38,914 | send | /adm/obj/1/xyz | [0.4554363191127777, 0.22136907279491425, 1.0]
2026-03-24 11:16:38,915 | recv | /adm/obj/1/xyz | [0.4554363191127777, 0.22136907279491425, 1.0]
2026-03-24 11:16:57,208 | recv | /episode/end | [1]
2026-03-24 11:16:57,209 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 11:16:57,213 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 11:16:57,217 | send | /adm/obj/1/xyz | [-0.9970157146453857, -1.0, 0.8915726542472839]
2026-03-24 11:16:57,218 | recv | /adm/obj/1/xyz | [-0.9970157146453857, -1.0, 0.8915726542472839]
2026-03-24 11:19:45,964 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 11:19:46,439 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 11:19:46,443 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 11:19:46,454 | send | /adm/obj/1/xyz | [-0.10444442182779312, -0.8548943996429443, 0.08990892022848129]
2026-03-24 11:19:46,454 | recv | /adm/obj/1/xyz | [-0.10444442182779312, -0.8548943996429443, 0.08990892022848129]
2026-03-24 11:20:11,506 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 11:20:11,965 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 11:20:11,970 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 11:20:11,971 | send | /adm/obj/1/xyz | [-0.0686555802822113, 1.0, 1.0]
2026-03-24 11:20:11,972 | recv | /adm/obj/1/xyz | [-0.0686555802822113, 1.0, 1.0]
2026-03-24 11:22:54,549 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 11:22:55,083 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 11:22:55,086 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 11:22:55,097 | send | /adm/obj/1/xyz | [1.0, -0.0014273718697950244, 0.7190815806388855]
2026-03-24 11:22:55,097 | recv | /adm/obj/1/xyz | [1.0, -0.0014273718697950244, 0.7190815806388855]
2026-03-24 11:22:59,349 | recv | /reward | [-2]
2026-03-24 11:22:59,352 | send | /adm/obj/1/xyz | [-0.7630770206451416, -1.0, -1.0]
2026-03-24 11:22:59,354 | recv | /adm/obj/1/xyz | [-0.7630770206451416, -1.0, -1.0]
2026-03-24 11:23:02,005 | recv | /reward | [-2]
2026-03-24 11:23:02,008 | send | /adm/obj/1/xyz | [0.28215163946151733, 1.0, 0.9341367483139038]
2026-03-24 11:23:02,008 | recv | /adm/obj/1/xyz | [0.28215163946151733, 1.0, 0.9341367483139038]
2026-03-24 11:55:58,861 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 11:55:59,320 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 11:55:59,327 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 11:55:59,328 | send | /adm/obj/1/xyz | [0.17150390148162842, 0.40869277715682983, -1.0]
2026-03-24 11:55:59,328 | recv | /adm/obj/1/xyz | [0.17150390148162842, 0.40869277715682983, -1.0]
2026-03-24 11:56:25,763 | recv | /reward | [1]
2026-03-24 11:56:25,767 | send | /adm/obj/1/xyz | [0.35721495747566223, 0.9962204098701477, -0.10604505985975266]
2026-03-24 11:56:25,768 | recv | /adm/obj/1/xyz | [0.35721495747566223, 0.9962204098701477, -0.10604505985975266]
2026-03-24 11:56:28,298 | recv | /reward | [-2]
2026-03-24 11:56:28,301 | send | /adm/obj/1/xyz | [-0.4651934504508972, -0.26605305075645447, -0.48115670680999756]
2026-03-24 11:56:28,303 | recv | /adm/obj/1/xyz | [-0.4651934504508972, -0.26605305075645447, -0.48115670680999756]
2026-03-24 11:56:30,272 | recv | /reward | [1]
2026-03-24 11:56:30,275 | send | /adm/obj/1/xyz | [0.9146236181259155, 0.7969722747802734, 0.5209728479385376]
2026-03-24 11:56:30,278 | recv | /adm/obj/1/xyz | [0.9146236181259155, 0.7969722747802734, 0.5209728479385376]
2026-03-24 11:56:32,435 | recv | /reward | [-2]
2026-03-24 11:56:32,438 | send | /adm/obj/1/xyz | [0.7534652948379517, -0.29010388255119324, -0.34964504837989807]
2026-03-24 11:56:32,439 | recv | /adm/obj/1/xyz | [0.7534652948379517, -0.29010388255119324, -0.34964504837989807]
2026-03-24 11:56:35,018 | recv | /reward | [-1]
2026-03-24 11:56:35,020 | send | /adm/obj/1/xyz | [-1.0, 0.34385305643081665, 0.815699577331543]
2026-03-24 11:56:35,021 | recv | /adm/obj/1/xyz | [-1.0, 0.34385305643081665, 0.815699577331543]
2026-03-24 11:56:38,200 | recv | /reward | [-2]
2026-03-24 11:56:38,201 | send | /adm/obj/1/xyz | [0.38091233372688293, 0.5164111852645874, -0.014828254468739033]
2026-03-24 11:56:38,202 | recv | /adm/obj/1/xyz | [0.38091233372688293, 0.5164111852645874, -0.014828254468739033]
2026-03-24 11:56:41,496 | recv | /reward | [0]
2026-03-24 11:56:41,497 | send | /adm/obj/1/xyz | [1.0, 0.1207256019115448, 0.17913903295993805]
2026-03-24 11:56:41,498 | recv | /adm/obj/1/xyz | [1.0, 0.1207256019115448, 0.17913903295993805]
2026-03-24 11:56:43,769 | recv | /reward | [-2]
2026-03-24 11:56:43,773 | send | /adm/obj/1/xyz | [1.0, 0.27444127202033997, 0.8716996312141418]
2026-03-24 11:56:43,774 | recv | /adm/obj/1/xyz | [1.0, 0.27444127202033997, 0.8716996312141418]
2026-03-24 11:56:46,226 | recv | /reward | [-2]
2026-03-24 11:56:46,229 | send | /adm/obj/1/xyz | [-1.0, 1.0, 0.32983240485191345]
2026-03-24 11:56:46,230 | recv | /adm/obj/1/xyz | [-1.0, 1.0, 0.32983240485191345]
2026-03-24 11:57:03,493 | recv | /reward | [-2]
2026-03-24 11:57:03,495 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 11:57:03,497 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 11:57:03,505 | send | /adm/obj/1/xyz | [-0.9326627254486084, -0.3445844352245331, -0.6912603974342346]
2026-03-24 11:57:03,506 | recv | /adm/obj/1/xyz | [-0.9326627254486084, -0.3445844352245331, -0.6912603974342346]
2026-03-24 11:57:36,691 | recv | /training/stop | [1]
2026-03-24 11:57:36,696 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 11:57:36,699 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 11:57:36,707 | send | /adm/obj/1/xyz | [-1.0, 1.0, 0.8562857508659363]
2026-03-24 11:57:36,707 | recv | /adm/obj/1/xyz | [-1.0, 1.0, 0.8562857508659363]
2026-03-24 12:07:42,825 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 12:07:43,282 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 12:07:43,285 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 12:07:43,285 | send | /adm/obj/1/xyz | [-0.2452860325574875, 1.0, 0.9274799227714539]
2026-03-24 12:07:43,286 | recv | /adm/obj/1/xyz | [-0.2452860325574875, 1.0, 0.9274799227714539]
2026-03-24 12:07:56,716 | recv | /reward | [-2]
2026-03-24 12:07:56,719 | send | /adm/obj/1/xyz | [-0.29487231373786926, 0.04356861487030983, -1.0]
2026-03-24 12:07:56,720 | recv | /adm/obj/1/xyz | [-0.29487231373786926, 0.04356861487030983, -1.0]
2026-03-24 12:07:58,924 | recv | /reward | [1]
2026-03-24 12:07:58,926 | send | /adm/obj/1/xyz | [-0.23764507472515106, -0.5529466867446899, 1.0]
2026-03-24 12:07:58,927 | recv | /adm/obj/1/xyz | [-0.23764507472515106, -0.5529466867446899, 1.0]
2026-03-24 12:08:01,970 | recv | /reward | [0]
2026-03-24 12:08:01,972 | send | /adm/obj/1/xyz | [1.0, 1.0, -1.0]
2026-03-24 12:08:01,973 | recv | /adm/obj/1/xyz | [1.0, 1.0, -1.0]
2026-03-24 12:08:04,625 | recv | /reward | [-2]
2026-03-24 12:08:04,628 | send | /adm/obj/1/xyz | [-0.5526627898216248, -1.0, 0.3670178949832916]
2026-03-24 12:08:04,630 | recv | /adm/obj/1/xyz | [-0.5526627898216248, -1.0, 0.3670178949832916]
2026-03-24 12:08:07,486 | recv | /reward | [-2]
2026-03-24 12:08:07,489 | send | /adm/obj/1/xyz | [0.057563748210668564, 1.0, -0.6680355072021484]
2026-03-24 12:08:07,490 | recv | /adm/obj/1/xyz | [0.057563748210668564, 1.0, -0.6680355072021484]
2026-03-24 12:08:10,010 | recv | /reward | [-2]
2026-03-24 12:08:10,012 | send | /adm/obj/1/xyz | [0.2724001705646515, 0.6705421209335327, -0.9813315868377686]
2026-03-24 12:08:10,014 | recv | /adm/obj/1/xyz | [0.2724001705646515, 0.6705421209335327, -0.9813315868377686]
2026-03-24 12:08:14,670 | recv | /training/stop | [1]
2026-03-24 12:08:14,671 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 12:08:14,675 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 12:08:14,677 | send | /adm/obj/1/xyz | [0.117429718375206, 0.16359378397464752, -0.7887667417526245]
2026-03-24 12:08:14,678 | recv | /adm/obj/1/xyz | [0.117429718375206, 0.16359378397464752, -0.7887667417526245]
2026-03-24 12:08:45,789 | recv | /episode/end | [1]
2026-03-24 12:08:45,790 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 12:08:45,792 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 12:08:45,796 | send | /adm/obj/1/xyz | [-0.8430412411689758, -0.8978126645088196, -0.8243358731269836]
2026-03-24 12:08:45,797 | recv | /adm/obj/1/xyz | [-0.8430412411689758, -0.8978126645088196, -0.8243358731269836]
2026-03-25 11:11:12,769 | listener_started | / | ['127.0.0.1:9001']
2026-03-25 11:11:13,264 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-25 11:11:13,271 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
